SEMANA,META,MINIMO,REAL,MARCA,CUMPLIMIENTO,REAL_PREDICHO,ERROR
30,22200000,18870000,19275144,BOSI,86.82497297297297,20522595.132656362,-1247451.132656362
30,3560000,3026001,3395425,BAMBINO,95.37710674157303,4367088.332885108,-971663.332885108
31,18750000,15937501,15380775,BOSI,82.0308,17532439.63591758,-2151664.6359175816
31,2360000,2006001,2715584,BAMBINO,115.0671186440678,3327034.2470629243,-611450.2470629243
32,14110000,11993500,16060834,BOSI,113.82589652728561,13510897.170738474,2549936.8292615265
32,2440000,2073999,3423225,BAMBINO,140.29610655737704,3396371.186117736,26853.813882263843
33,16640000,14143999,17654885,BOSI,106.09906850961539,15703677.86834691,1951207.131653089
33,1690000,1436500,4390035,BAMBINO,259.7653846153846,2746337.3824788714,1643697.6175211286
34,20840000,17713999,18030280,BOSI,86.51765834932822,19343867.168724556,-1313587.1687245555
34,2990000,2541500,3268395,BAMBINO,109.31086956521739,3873062.6421195706,-604667.6421195706
35,18700000,15895001,19450197,BOSI,104.01174866310161,17489104.049008325,1961092.9509916753
35,4740000,4029000,4157504,BAMBINO,87.71105485232069,5389808.183943588,-1232304.1839435883
